code,term
10753491000119101,Gestational diabetes mellitus in childbirth
11687002,Gestational diabetes mellitus
40791000119105,Postpartum gestational diabetes mellitus
40801000119106,Gestational diabetes mellitus complicating pregnancy
46894009,Gestational diabetes mellitus class A2
472699005,Uncontrolled gestational diabetes mellitus
472971004,Past pregnancy history of gestational diabetes mellitus
75022004,Gestational diabetes mellitus class A1
